resblock_id,resblock_name,jiedao
5011000000716 ,控江路1203号,控江路街道
5011000000721 ,新浦江城江柳路400弄,浦江镇
5011000000722 ,新浦江城江桦路600弄,浦江镇
5011000000723 ,新浦江城江桦路400弄别墅,浦江镇
5011000000724 ,新浦江城江桦路399弄,浦江镇
5011000000725 ,新浦江城江桦路200弄别墅,浦江镇
5011000000726 ,新浦江城江桦路199弄,浦江镇
5011000000727 ,石油大院,金杨新村街道
5011000000729 ,新浦江城浦锦路1658弄,浦江镇
5011000000730 ,新浦江城江栀路500弄别墅,浦江镇
5011000000731 ,绿地蔷薇九里公寓,方松街道
5011000000731 ,绿地蔷薇九里别墅,方松街道
5011000000737 ,颛溪十村,颛桥镇
5011000000739 ,淮海名邸,新华路街道
5011000000740 ,君逸公馆,金山卫镇
5011000000741 ,明城新村,海湾镇
5011000000742 ,希都公寓,南桥镇
5011000000744 ,紫堤坊,华漕镇
5011000000745 ,肖塘新村,南桥镇
5011000000746 ,梅州新村,石化街道
5011000000747 ,辰凯花苑,石化街道
5011000000748 ,颛卫路175弄,颛桥镇
5011000000750 ,颛建路203弄,颛桥镇
5011000000752 ,南大路126弄,大场镇
5011000000753 ,虹桥路2335号,程家桥街道
5011000000754 ,大连西路94号,曲阳路街道
5011000000758 ,敦化路6弄,延吉新村街道
5011000000760 ,人乐二村,岳阳街道
5011000000761 ,木鱼弄小区,岳阳街道
5011000000762 ,荣乐一村,岳阳街道
5011000000764 ,思凡馨苑,祝桥镇
5011000000765 ,安通路1168弄,陈家镇
5011000000766 ,红旗五村,江川路街道
5011000000767 ,南苑四村,菊园新区管委会
5011000000768 ,凤辰乐苑,长兴镇
5011000000770 ,德华一村,南翔镇
5011000000771 ,鹤沙航城汇诚佳苑,航头镇
5011000000772 ,佰田大富苑,周浦镇
5011000000773 ,茉莉雅苑,泗泾镇
5011000000775 ,绿洲丰怡园,菊园新区管委会
5011000000776 ,凤翔新村,朱泾镇
5011000000783 ,汤巷中心村,康桥镇
5011000000784 ,阳光里嘉定,马陆镇
5011000000788 ,桃浦一村合欢苑,桃浦镇
5011000000790 ,西湖新村,朱家角镇
5011000000791 ,云树欣居,泥城镇
5011000000792 ,新凯城锦昌苑,泗泾镇
5011000000793 ,海上纳缇,山阳镇
5011000000794 ,呼玛五村,张庙街道
5011000000796 ,前哨路288弄,合庆镇
5011000000798 ,古春苑,新场镇
5011000000799 ,维也纳广场,虹桥街道
5011000000800 ,共富三村,顾村镇
5011000000802 ,钟楼新村,朱泾镇
5011000000803 ,枫香名苑,枫泾镇
5011000000804 ,南华二村嘉定,南翔镇
5011000000804 ,南华二村嘉定,南翔镇
5011000000805 ,思凡花苑六街坊,祝桥镇
5011000000806 ,北圩新村,朱泾镇
5011000000807 ,远香舫新苑,菊园新区管委会
5011000000808 ,丽泽兰馨苑,书院镇
