id,dist_metro2017,dist_metro2018,dist_metro2019,dist_metro2020,dist_metro2021
4769,2554.234151,2554.234151,2138.626113,2138.626113,4712.601576
4770,1178.072956,1178.072956,1178.072956,1178.072956,7465.732747
4771,837.8886902,837.8886902,214.4921929,214.4921929,6771.513955
4772,3534.416403,3534.416403,3534.416403,7705.159473,1150.439379
4773,3977.681624,3977.681624,3977.681624,3977.681624,2419.508388
4774,2286.511713,2286.511713,2286.511713,2028.634107,9114.609837
4775,3662.247379,3662.247379,6372.956734,6677.600614,2848.079123
4776,2358.695896,2358.695896,2358.695896,2358.695896,3141.534789
4777,1865.566959,1865.566959,1865.566959,1985.975457,5539.191743
4778,1580.54079,1580.54079,1558.293151,1558.293151,8142.750984
4779,2023.707427,2023.707427,2023.707427,2023.707427,4569.245858
4780,297.858446,297.858446,297.858446,297.858446,6350.97161
4781,4742.440982,4742.440982,4497.262022,4497.262022,2618.886602
4782,1446.14183,1446.14183,10428.24277,10428.24277,1734.566129
4783,719.2118596,719.2118596,719.2118596,719.2118596,5825.529213
4784,681.6303885,681.6303885,681.6303885,681.6303885,7285.862318
4785,2026.532585,2026.532585,2026.532585,2026.532585,4929.744784
4786,4706.406415,4706.406415,8789.962815,8789.962815,1699.110532
4787,4155.123245,4155.123245,3398.899591,3398.899591,2557.788039
4788,1913.283073,1913.283073,1913.283073,1913.283073,4445.670498
4789,3292.320599,3292.320599,3292.320599,3292.320599,3358.402386
4790,2034.160966,2034.160966,1786.674369,1786.674369,2034.160966
4791,945.4357979,945.4357979,945.4357979,945.4357979,7668.36934
4792,1638.049481,1638.049481,1543.719373,1543.719373,5028.646704
4793,1335.329251,1335.329251,629.8484234,629.8484234,1335.329251
4794,177.2405616,177.2405616,177.2405616,177.2405616,177.2405616
4795,2393.824962,2393.824962,1473.999782,1473.999782,5502.424269
4796,1939.571129,1939.571129,1939.571129,1939.571129,5232.660367
4797,2361.922394,2361.922394,2263.046354,2263.046354,4434.340594
4798,2581.600261,2581.600261,2380.296685,2380.296685,2581.600261
4799,1359.976867,1359.976867,1097.444797,1097.444797,5602.694215
4800,314.7929357,314.7929357,314.7929357,663.0565169,7124.124431
4801,5036.42732,5036.42732,5036.42732,5618.119213,1487.786993
4802,2292.701873,2292.701873,2292.701873,2292.701873,2860.990411
4803,522.6995846,522.6995846,899.709742,899.709742,1005.579817
4804,2399.045138,2399.045138,2399.045138,3114.902559,5063.051763
4805,916.4985214,916.4985214,505.6634104,505.6634104,6647.353996
4806,4846.548577,4846.548577,5450.904225,6240.867205,2029.102678
4807,3306.176702,3306.176702,5167.667463,5167.667463,5791.151451
